Nombre,direccion_completa,Departamento,Localidad,Longitud,Latitud,Ambito
LAS PIEDRAS Nº 4,"LAVALLEJA ENTRE LIBERTAD Y YAMANDU RODRIGUEZ, ",CANELONES,LAS PIEDRAS,-56.21762173,-34.72167338,Urbano
LAS PIEDRAS Nº 4,"LAVALLEJA ENTRE LIBERTAD Y YAMANDU RODRIGUEZ, ",CANELONES,LAS PIEDRAS,-56.21762173,-34.72167338,Urbano
JUANICO,"RUTA 5 KM.38, ",CANELONES,JUANICO,-56.2617373,-34.59328441,Urbano
JUANICO,"RUTA 5 KM.38, ",CANELONES,JUANICO,-56.2617373,-34.59328441,Urbano
JUANICO,"RUTA 5 KM.38, ",CANELONES,JUANICO,-56.2617373,-34.59328441,Urbano
JUANICO,"RUTA 5 KM.38, ",CANELONES,JUANICO,-56.2617373,-34.59328441,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
